RestaurantID,Restaurant Name,CountryCode,Country name,City,locality,Cuisines,Currency,USD Rate,Has_Table_booking,Has_Online_delivery,Is_delivering_now,Switch_to_order_menu,Price_range,Votes,Average_Cost_for_two,Rating,year&date,Year,Month,Date,Month Name,Quater,Week of Year,Day Name,Financial Quater,Financial month,year&month,USD (Cost) of avg_cost of two,Indian Rupees (Cost) of avg_cost of two,Count of Restaurant
18435314,Punjabis Veg Grill,1,India,New Delhi,Geeta Colony,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,300,1,21-09-2013,2013,9,21,September,QRT-3,38,Saturday,FQ-2,FM-6,01-09-2013,3.6,322.092,1861
18378015,Tasty Tandoor,1,India,New Delhi,Geeta Colony,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,200,1,10-09-2016,2016,9,10,September,QRT-3,37,Saturday,FQ-2,FM-6,01-09-2016,2.4,214.728,3789
18424905,Taste of Spice,1,India,New Delhi,Lajpat Nagar 1,North Indian,Indian Rupees(Rs.),0.012,No,Yes,No,No,1,0,400,1,25-09-2018,2018,9,25,September,QRT-3,39,Tuesday,FQ-2,FM-6,01-09-2018,4.8,429.456,2185
18180072,Kolcata Bengali Dhaba,1,India,New Delhi,Mahipalpur,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,100,1,06-09-2018,2018,9,6,September,QRT-3,36,Thursday,FQ-2,FM-6,01-09-2018,1.2,107.364,2105
18415377,Sunil Punjabi Dhaba,1,India,New Delhi,Mahipalpur,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,150,1,17-09-2013,2013,9,17,September,QRT-3,38,Tuesday,FQ-2,FM-6,01-09-2013,1.8,161.046,
18421485,Bikaner Restaurant,1,India,New Delhi,Mukherjee Nagar,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,100,1,03-09-2018,2018,9,3,September,QRT-3,36,Monday,FQ-2,FM-6,01-09-2018,1.2,107.364,
312413,Just In,1,India,New Delhi,Mukherjee Nagar,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,200,1,16-09-2011,2011,9,16,September,QRT-3,38,Friday,FQ-2,FM-6,01-09-2011,2.4,214.728,
303497,Shri Shyam Ji Shudh Shakahari Bhojnalaya,1,India,New Delhi,Najafgarh,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,150,1,21-09-2014,2014,9,21,September,QRT-3,39,Sunday,FQ-2,FM-6,01-09-2014,1.8,161.046,
18354644,Shree Bhojnalaya,1,India,New Delhi,New Friends Colony,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,100,1,09-09-2012,2012,9,9,September,QRT-3,37,Sunday,FQ-2,FM-6,01-09-2012,1.2,107.364,
18366001,Baba Ka Dhaba,1,India,New Delhi,Palam,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,200,1,21-09-2014,2014,9,21,September,QRT-3,39,Sunday,FQ-2,FM-6,01-09-2014,2.4,214.728,
18486845,Kaka Da Dhaba,1,India,New Delhi,R K Puram,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,100,1,24-09-2012,2012,9,24,September,QRT-3,39,Monday,FQ-2,FM-6,01-09-2012,1.2,107.364,
18424202,Famous Parantha and Poori Sabzi,1,India,New Delhi,Vasundhara Enclave,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,50,1,20-09-2014,2014,9,20,September,QRT-3,38,Saturday,FQ-2,FM-6,01-09-2014,0.6,53.682,
18472678,Garam Masala,1,India,New Delhi,Defence Colony,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,300,1,10-08-2013,2013,8,10,August,QRT-3,32,Saturday,FQ-4,FM-12,01-08-2013,3.6,322.092,
18209806,ZaikaEChaap Express,1,India,New Delhi,Dilshad Garden,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,250,1,20-08-2010,2010,8,20,August,QRT-3,34,Friday,FQ-4,FM-12,01-08-2010,3,268.41,
18286922,Tandoori Nature,1,India,New Delhi,Jangpura,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,400,1,24-08-2017,2017,8,24,August,QRT-3,34,Thursday,FQ-4,FM-12,01-08-2017,4.8,429.456,
18458302,Tinker Koch,1,India,New Delhi,Jangpura,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,300,1,15-08-2013,2013,8,15,August,QRT-3,33,Thursday,FQ-4,FM-12,01-08-2013,3.6,322.092,
7362,Vaishno Da Dhaba,1,India,New Delhi,Mahipalpur,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,200,1,24-08-2010,2010,8,24,August,QRT-3,35,Tuesday,FQ-4,FM-12,01-08-2010,2.4,214.728,
18466400,Desi Thaat Amritsari Naan,1,India,New Delhi,Mukherjee Nagar,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,300,1,13-08-2015,2015,8,13,August,QRT-3,33,Thursday,FQ-4,FM-12,01-08-2015,3.6,322.092,
18361779,Haryana Bhojnalaya,1,India,New Delhi,Mukherjee Nagar,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,100,1,24-08-2011,2011,8,24,August,QRT-3,35,Wednesday,FQ-4,FM-12,01-08-2011,1.2,107.364,
18354672,Karol Bagh Ke Chhole Bhature,1,India,New Delhi,Najafgarh,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,150,1,21-08-2017,2017,8,21,August,QRT-3,34,Monday,FQ-4,FM-12,01-08-2017,1.8,161.046,
18464641,Bala Ji Rasoi,1,India,New Delhi,Nangloi,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,350,1,09-08-2012,2012,8,9,August,QRT-3,32,Thursday,FQ-4,FM-12,01-08-2012,4.2,375.774,
18312665,Best Chicken Corner,1,India,New Delhi,Nangloi,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,2,0,650,1,04-08-2010,2010,8,4,August,QRT-3,32,Wednesday,FQ-4,FM-12,01-08-2010,7.8,697.866,
18312572,Avatar Da Dhaba,1,India,New Delhi,Naraina,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,200,1,13-08-2017,2017,8,13,August,QRT-3,33,Sunday,FQ-4,FM-12,01-08-2017,2.4,214.728,
18349241,Curry Man,1,India,New Delhi,Naraina,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,200,1,06-08-2016,2016,8,6,August,QRT-3,32,Saturday,FQ-4,FM-12,01-08-2016,2.4,214.728,
18355121,Delicious Eating Corner,1,India,New Delhi,Nehru Place,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,400,1,24-08-2013,2013,8,24,August,QRT-3,34,Saturday,FQ-4,FM-12,01-08-2013,4.8,429.456,
18289272,Massis Kitchen,1,India,New Delhi,Pandav Nagar,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,200,1,06-08-2014,2014,8,6,August,QRT-3,32,Wednesday,FQ-4,FM-12,01-08-2014,2.4,214.728,
18449949,Roll Junction,1,India,New Delhi,Pandav Nagar,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,150,1,08-08-2010,2010,8,8,August,QRT-3,33,Sunday,FQ-4,FM-12,01-08-2010,1.8,161.046,
18451571,Amritsari Naan,1,India,New Delhi,Pitampura,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,200,1,03-08-2016,2016,8,3,August,QRT-3,32,Wednesday,FQ-4,FM-12,01-08-2016,2.4,214.728,
18446496,Parantha on Call,1,India,New Delhi,Geeta Colony,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,100,1,26-07-2018,2018,7,26,July,QRT-3,30,Thursday,FQ-2,FM-4,01-07-2018,1.2,107.364,
18357972,Satnaam Foods,1,India,New Delhi,Mayur Vihar Phase 1,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,300,1,18-07-2011,2011,7,18,July,QRT-3,30,Monday,FQ-2,FM-4,01-07-2011,3.6,322.092,
18375383,The Deshi Bites,1,India,New Delhi,Mayur Vihar Phase 3,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,2,0,500,1,28-07-2018,2018,7,28,July,QRT-3,30,Saturday,FQ-2,FM-4,01-07-2018,6,536.82,
18236975,Syall Kotian Da Dhaba,1,India,New Delhi,Moti Nagar,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,2,0,500,1,22-07-2017,2017,7,22,July,QRT-3,29,Saturday,FQ-2,FM-4,01-07-2017,6,536.82,
18361767,Jyoti Dhaba,1,India,New Delhi,Mukherjee Nagar,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,150,1,04-07-2011,2011,7,4,July,QRT-3,28,Monday,FQ-2,FM-4,01-07-2011,1.8,161.046,
304610,Sangeeta Dhaba,1,India,New Delhi,Najafgarh,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,300,1,13-07-2013,2013,7,13,July,QRT-3,28,Saturday,FQ-2,FM-4,01-07-2013,3.6,322.092,
18352268,Little Delhi,1,India,New Delhi,R K Puram,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,2,0,500,1,13-07-2011,2011,7,13,July,QRT-3,29,Wednesday,FQ-2,FM-4,01-07-2011,6,536.82,
18352180,Ok Indian  Chinese Food Corner,1,India,New Delhi,R K Puram,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,200,1,03-07-2011,2011,7,3,July,QRT-3,28,Sunday,FQ-2,FM-4,01-07-2011,2.4,214.728,
18354987,Foodies,1,India,New Delhi,Sainik Farms,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,350,1,20-07-2014,2014,7,20,July,QRT-3,30,Sunday,FQ-2,FM-4,01-07-2014,4.2,375.774,
18355147,Star Restaurant,1,India,New Delhi,Sainik Farms,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,100,1,02-07-2014,2014,7,2,July,QRT-3,27,Wednesday,FQ-2,FM-4,01-07-2014,1.2,107.364,
18361206,Punjabi Flavour,1,India,New Delhi,Civil Lines,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,100,1,16-06-2014,2014,6,16,June,QRT-2,25,Monday,FQ-1,FM-3,01-06-2014,1.2,107.364,
18292467,Anupam Jalpan,1,India,New Delhi,Daryaganj,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,200,1,23-06-2018,2018,6,23,June,QRT-2,25,Saturday,FQ-1,FM-3,01-06-2018,2.4,214.728,
18378032,Asia,1,India,New Delhi,Dilshad Garden,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,2,0,500,1,20-06-2010,2010,6,20,June,QRT-2,26,Sunday,FQ-1,FM-3,01-06-2010,6,536.82,
18449634,Peshawari Mehel,1,India,New Delhi,Gujranwala Town,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,400,1,15-06-2017,2017,6,15,June,QRT-2,24,Thursday,FQ-1,FM-3,01-06-2017,4.8,429.456,
18424902,All About Food,1,India,New Delhi,Hauz Khas,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,100,1,05-06-2015,2015,6,5,June,QRT-2,23,Friday,FQ-1,FM-3,01-06-2015,1.2,107.364,
18421482,Breakfast Hut,1,India,New Delhi,Krishna Nagar,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,200,1,10-06-2012,2012,6,10,June,QRT-2,24,Sunday,FQ-1,FM-3,01-06-2012,2.4,214.728,
